local_time,telemetry_ts,left_angle,right_angle,angle_diff,phase_left,phase_right,assist_left,assist_right,assist_enabled
2026-04-01 16:46:26.981,1775033187.133544,0.051197,-0.033940,0.085137,5.508484,2.366891,0.000000,0.000000,0
2026-04-01 16:46:27.001,1775033187.171124,0.051197,-0.034707,0.085904,5.569339,2.427746,0.000000,0.000000,0
2026-04-01 16:46:27.017,1775033187.209339,0.051197,-0.035857,0.087055,5.630154,2.488561,0.000000,0.000000,0
2026-04-01 16:46:27.031,1775033187.243314,0.050814,-0.035474,0.086288,5.690956,2.549364,0.000000,0.000000,0
2026-04-01 16:46:27.056,1775033187.276544,0.050814,-0.035474,0.086288,5.751759,2.610166,0.000000,0.000000,0
2026-04-01 16:46:27.076,1775033187.310583,0.051197,-0.035474,0.086671,5.812561,2.670968,0.000000,0.000000,0
2026-04-01 16:46:27.091,1775033187.344915,0.050814,-0.035474,0.086288,5.873363,2.731771,0.000000,0.000000,0
2026-04-01 16:46:27.120,1775033187.383376,0.050814,-0.034707,0.085521,5.934166,2.792573,0.000000,0.000000,0
2026-04-01 16:46:27.132,1775033187.419246,0.050814,-0.034707,0.085521,5.994968,2.853376,0.000000,0.000000,0
2026-04-01 16:46:27.145,1775033187.456361,0.050814,-0.035090,0.085904,6.055771,2.914178,0.000000,0.000000,0
2026-04-01 16:46:27.162,1775033187.493743,0.050814,-0.034707,0.085521,6.116573,2.974980,0.000000,0.000000,0
2026-04-01 16:46:27.174,1775033187.527000,0.050814,-0.034323,0.085137,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.221,1775033187.564385,0.050430,-0.034323,0.084754,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.262,1775033187.602239,0.050430,-0.034323,0.084754,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.287,1775033187.640216,0.050430,-0.034323,0.084754,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.356,1775033187.677881,0.050430,-0.034323,0.084754,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.402,1775033187.714483,0.050814,-0.033173,0.083987,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.427,1775033187.752026,0.050430,-0.032406,0.082836,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.453,1775033187.789214,0.050430,-0.032406,0.082836,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.542,1775033187.833551,0.050430,-0.031639,0.082069,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.578,1775033187.870599,0.050430,-0.030872,0.081302,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.607,1775033187.908237,0.050047,-0.030872,0.080919,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.635,1775033187.945046,0.050430,-0.030872,0.081302,6.177375,3.035783,0.000000,0.000000,0
2026-04-01 16:46:27.663,1775033187.980018,0.050430,-0.030872,0.081302,6.177375,3.035783,0.000000,0.000000,0
