timestamp_us,phase_onnx,raw_phase_onnx,stride_rate_hz_onnx,cos_value_onnx,sin_value_onnx,total_predictions_onnx,phase_keras,raw_phase_keras,stride_rate_hz_keras,cos_value_keras,sin_value_keras,total_predictions_keras,phase_error_cycle,phase_error_percent,phase_abs_error_percent
185981791,0.6768378875521697,0.6342157122883214,0.4244052767753601,-0.3577978610992431,-0.4018327593803406,63,0.6768378777296407,0.6342156889291197,0.4244052767753601,-0.35779809951782227,-0.4018329083919525,63,-9.82252901238212e-09,-9.82252901238212e-07,9.82252901238212e-07
186015125,0.6909903061258671,0.6343478529721618,0.4245725572109222,-0.3574965298175812,-0.4021661579608917,64,0.6909902953099273,0.6343478881106088,0.42457252740859985,-0.3574965298175812,-0.40216633677482605,64,-1.0815939810449038e-08,-1.0815939810449038e-06,1.0815939810449038e-06
186048459,0.7051450761028009,0.6345424523933096,0.4246430993080139,-0.3571754097938537,-0.402795672416687,65,0.7051450662802718,0.6345424918189059,0.4246431291103363,-0.35717546939849854,-0.4027959406375885,65,-9.82252901238212e-09,-9.82252901238212e-07,9.82252901238212e-07
186081793,0.7192984801399586,0.6343837382397255,0.4246021211147308,-0.3575722873210907,-0.4024340808391571,66,0.7192984703174296,0.6343837850572963,0.42460212111473083,-0.3575722873210907,-0.4024343192577362,66,-9.82252901238212e-09,-9.82252901238212e-07,9.82252901238212e-07
186115127,0.7334541968373336,0.634522145933794,0.4246715009212494,-0.3572161793708801,-0.4027381241321563,67,0.7334541860213938,0.6345221612383112,0.424671471118927,-0.3572162687778473,-0.4027383029460907,67,-1.0815939810449038e-08,-1.0815939810449038e-06,1.0815939810449038e-06
186148461,0.7476090254255015,0.6344066819638985,0.4246448576450348,-0.3573346138000488,-0.4022833704948425,68,0.7476090146095616,0.6344067097620557,0.4246448576450348,-0.3573346734046936,-0.40228357911109924,68,-1.0815939810449038e-08,-1.0815939810449038e-06,1.0815939810449038e-06
186181795,0.7617654007542012,0.6344378157510857,0.4246912598609924,-0.3573678135871887,-0.4024792909622192,69,0.7617653899382614,0.6344377967206896,0.42469125986099243,-0.3573678731918335,-0.40247926115989685,69,-1.0815939810449038e-08,-1.0815939810449038e-06,1.0815939810449038e-06
186215129,0.775918612069674,0.6344708702620545,0.4245963394641876,-0.3575972318649292,-0.4029061794281006,70,0.7759185992669128,0.6344709162781396,0.42459627985954285,-0.3575972616672516,-0.4029064476490021,70,-1.2802761295560572e-08,-1.2802761295560572e-06,1.2802761295560572e-06
186248463,0.7900729071962711,0.6344882423298659,0.4246288537979126,-0.3575005829334259,-0.4028858542442322,71,0.7900728963803313,0.6344882057775403,0.4246289134025574,-0.3575006425380707,-0.4028857350349426,71,-1.0815939810449038e-08,-1.0815939810449038e-06,1.0815939810449038e-06
186281797,0.804228831516492,0.634294162641061,0.4246777296066284,-0.3579021692276001,-0.402349054813385,72,0.8042288197071414,0.6342942028935108,0.42467769980430603,-0.3579021990299225,-0.4023492932319641,72,-1.1809350608515956e-08,-1.1809350608515956e-06,1.1809350608515956e-06
